0,3430
6155303,1
68590810,1
8224197,1
1,932
-1,1
2,12
3,3
4,13
5,25
6,1
7,1
8,5
10,29
11,26
12,1
13,1
15,1
17,1
20,4
25,3
28,1
30,1
34,1
35,1
40,2
41,1
44,3
45,4
50,27
51,23
52,4
53,1
54,1
55,4
56,1
58,2
60,11
61,2
65,3
66,2
70,2
80,2
83,1
85,1
88,2
90,1
94,1
95,1
100,164
101,2
102,2
105,1
106,2
108,3
110,4
111,9
112,2
114,1
115,3
-115,1
120,2
121,1
122,1
123,1
125,1
128,2
136,2
140,4
150,54
-150,1
151,1
160,6
161,4
165,5
170,4
171,1
172,6
175,1
180,13
185,1
188,4
190,1
200,214
-200,1
202,1
203,1
205,1
206,1
210,102
216,1
220,55
225,1
228,1
230,33
231,2
234,1
235,1
237,1
238,5
240,25
241,1
242,6
245,1
249,2
250,662
-250,1
254,5
255,4
258,1
260,54
262,1
263,1
264,1
265,1
266,1
269,1
270,23
273,2
274,1
275,8
278,2
279,3
280,25
281,2
284,1
285,2
286,1
288,1
289,1
290,57
295,1
299,2
300,308445
-300,561
301,147
302,74
303,20
304,16
305,43
306,18
-306,1
307,18
308,19
309,25
310,98
311,25
312,37
313,4
314,9
315,25
316,3
317,3
319,1
320,78
321,2
322,10
323,6
324,5
325,187
326,6
327,2
328,4
329,2
330,249
331,1
332,3
333,11
335,9
336,4
337,1
338,5
339,10
340,169
341,2
342,1
343,5
344,3
345,51
346,1
349,1
350,493787
-350,744
351,276
352,94
353,33
354,6
355,108
-355,1
356,27
-356,2
357,9
358,44
359,14
360,1718
361,16
362,390
-362,2
363,44
364,16
365,45
366,4
367,12
368,9
369,3
370,166
371,3
372,13
373,4
374,3
375,1201
-375,9
376,32
377,21
378,7
379,3
-379,1
380,246
381,4
382,10
383,14
384,2
385,149
386,2
387,2
388,2
389,5
390,817
-390,1
391,2
392,1
394,11
395,68
396,6
397,2
398,3
399,30
400,1074128
-400,544
401,475
402,130
403,51
404,49
405,267
406,29
407,35
408,128
-408,1
409,32
410,15925
-410,3
411,132
412,24
413,3
414,3
415,78
416,7
417,4
418,24
419,8
420,16393
421,14
422,41
423,5
424,8
425,4788
426,23
427,11
428,24
429,13
430,277
431,4
432,8
433,10
435,937
436,6
437,2452
438,85
439,5
440,6014
-440,3
441,24
442,17
443,1
444,54
445,198
446,12
447,7
448,11
449,38
450,1970994
-450,270
451,854
452,331
453,67
454,81
455,5075
-455,1
456,52
-456,1
457,54
458,355
459,83
460,2864
461,129
462,27
463,20
464,8
465,386
466,47
467,4
468,39
469,12
470,75578
471,47
472,224
473,8
474,20
475,4669
476,7
477,50
-477,1
478,45
479,29
480,78013
481,7
482,16
483,18
484,3
485,165
486,11
487,5
488,15943
-488,1
489,22
490,1070
491,24
492,13
493,4
494,111
495,1194
496,12
497,16
498,53
499,58
500,3174084
-500,231
501,1527
502,398
503,103
504,40
505,28109
506,100
-506,1
507,110
508,916
509,168
510,4850
-510,1
511,378
512,43
513,9
514,29
515,1035
516,77
517,118
518,136
519,32
520,16746
521,58
522,279
523,28
524,15
525,14039
526,31
527,128
528,75
529,43
530,207996
531,69
532,34
533,169
-533,2
534,11
535,493
536,22
537,13
538,200
539,37
540,217429
541,22
542,11
543,5
544,61
545,659
546,13
547,16
548,37
549,149
550,4103498
-550,191
551,1929
552,470
553,158
554,125
555,2472
556,118
557,129
558,1626
559,161
560,22956
561,746
562,43954
563,80
564,14
565,1410
566,145
567,38
568,591
569,75
570,46219
-570,1
571,49
572,457
573,55
574,37
575,28420
576,104
577,817
578,143
579,50
580,6885
581,118
582,14
583,50
584,9
585,33784
586,34
587,34
588,374
589,75
590,401008
-590,1
591,131
592,30
593,9
