point,epsilon 0.3 sq,epsilon 0.05 sq,epsilon 0.3 quad,epsilon 0.05 quad
2.43,0.0527213,0.00893312,0.000919123,4.2567e-06
2.44,0.0522757,0.0088563,0.000902885,4.18147e-06
2.45,0.0518358,0.00878048,0.00088701,4.10792e-06
2.46,0.0514015,0.00870565,0.000871487,4.036e-06
2.47,0.0509727,0.00863179,0.000856307,3.96567e-06
2.48,0.0505492,0.00855887,0.000841461,3.89689e-06
2.49,0.0501311,0.00848689,0.000826939,3.82962e-06
2.5,0.0497182,0.00841582,0.000812734,3.76381e-06
2.51,0.0493104,0.00834566,0.000798836,3.69943e-06
2.52,0.0489076,0.00827639,0.000785238,3.63644e-06
2.53,0.0485098,0.00820798,0.000771933,3.5748e-06
2.54,0.0481168,0.00814044,0.000758912,3.51448e-06
2.55,0.0477287,0.00807373,0.000746167,3.45544e-06
2.56,0.0473452,0.00800785,0.000733693,3.39766e-06
2.57,0.0469665,0.00794279,0.000721482,3.34109e-06
2.58,0.0465922,0.00787853,0.000709527,3.28571e-06
2.59,0.0462225,0.00781505,0.000697821,3.23149e-06
2.6,0.0458572,0.00775235,0.00068636,3.1784e-06
2.61,0.0454962,0.00769041,0.000675135,3.12641e-06
2.62,0.0451395,0.00762922,0.000664142,3.07549e-06
2.63,0.044787,0.00756877,0.000653375,3.02561e-06
2.64,0.0444387,0.00750905,0.000642828,2.97676e-06
2.65,0.0440944,0.00745003,0.000632495,2.9289e-06
2.66,0.0437541,0.00739172,0.000622371,2.88201e-06
2.67,0.0434179,0.0073341,0.000612452,2.83606e-06
2.68,0.0430854,0.00727716,0.000602732,2.79104e-06
2.69,0.0427569,0.00722089,0.000593206,2.74692e-06
2.7,0.0424321,0.00716527,0.000583871,2.70368e-06
2.71,0.042111,0.00711031,0.00057472,2.6613e-06
2.72,0.0417935,0.00705598,0.000565749,2.61975e-06
2.73,0.0414797,0.00700228,0.000556956,2.57902e-06
2.74,0.0411694,0.0069492,0.000548334,2.53909e-06
2.75,0.0408626,0.00689672,0.00053988,2.49994e-06
2.76,0.0405593,0.00684485,0.000531591,2.46154e-06
2.77,0.0402593,0.00679357,0.000523462,2.42389e-06
2.78,0.0399627,0.00674286,0.000515489,2.38697e-06
2.79,0.0396694,0.00669273,0.00050767,2.35075e-06
2.8,0.0393793,0.00664317,0.000499999,2.31523e-06
2.81,0.0390924,0.00659415,0.000492475,2.28038e-06
2.82,0.0388086,0.00654569,0.000485093,2.24619e-06
2.83,0.038528,0.00649776,0.00047785,2.21265e-06
2.84,0.0382503,0.00645036,0.000470744,2.17974e-06
2.85,0.0379758,0.00640349,0.000463771,2.14744e-06
2.86,0.0377041,0.00635713,0.000456927,2.11575e-06
2.87,0.0374354,0.00631128,0.000450211,2.08465e-06
2.88,0.0371696,0.00626593,0.000443619,2.05412e-06
2.89,0.0369066,0.00622107,0.000437148,2.02415e-06
2.9,0.0366464,0.00617669,0.000430797,1.99473e-06
2.91,0.036389,0.0061328,0.000424561,1.96586e-06
2.92,0.0361343,0.00608937,0.000418439,1.9375e-06
2.93,0.0358823,0.00604641,0.000412428,1.90967e-06
2.94,0.0356329,0.00600391,0.000406525,1.88233e-06
2.95,0.0353861,0.00596186,0.000400729,1.85549e-06
2.96,0.0351419,0.00592025,0.000395037,1.82913e-06
2.97,0.0349002,0.00587908,0.000389447,1.80324e-06
2.98,0.0346611,0.00583835,0.000383956,1.77781e-06
2.99,0.0344244,0.00579804,0.000378562,1.75284e-06
3,0.0341901,0.00575815,0.000373264,1.7283e-06
